iter	AUC
1040	0.6743714463
1041	0.6743901283
1042	0.6744019856
1043	0.6744134499
1044	0.6744362659
1045	0.6744587575
1046	0.674460307
1047	0.6744883385
1048	0.6744960075
1049	0.6745210532
1050	0.6745458248
1051	0.6745558054
1052	0.6745767938
1053	0.6745818524
1054	0.6746226608
1055	0.6746364223
1056	0.6746692453
1057	0.6747141587
1058	0.6747312732
1059	0.674755955
1060	0.6747753632
1061	0.6748435859
1062	0.67486269
1063	0.6748638805
1064	0.6748937988
1065	0.6749250872
1066	0.6749381771
1067	0.6749848492
1068	0.6750361982
1069	0.6750524422
1070	0.6750762516
1071	0.675094058
1072	0.6751065032
1073	0.675114177
1074	0.6751298556
1075	0.6751678987
1076	0.6752108252
1077	0.6752375921
1078	0.675252156
1079	0.6752578046
1080	0.6752760374
1081	0.6753052508
1082	0.6753280382
1083	0.675337053
1084	0.6753625753
1085	0.6753703551
1086	0.6753892547
1087	0.675398968
1088	0.675435643
1089	0.6754850981
1090	0.6755134619
1091	0.675519573
1092	0.6755498755
1093	0.6755764917
1094	0.6756134002
1095	0.675648198
1096	0.6756705848
1097	0.6756942738
1098	0.6757413243
1099	0.6757869358
1100	0.6757960363
1101	0.6758253834
1102	0.6758511889
1103	0.6758813005
1104	0.675901277
1105	0.6759214438
1106	0.6759350061
1107	0.6759696351
1108	0.6759933002
1109	0.6760189226
1110	0.6760683313
1111	0.6760900462
1112	0.6761548742
1113	0.6761882197
1114	0.6762644335
1115	0.6762913278
1116	0.6763125269
1117	0.6763437931
1118	0.6763594064
1119	0.6763791144
1120	0.6764110913
1121	0.6764462164
1122	0.6764549579
1123	0.6764914039
1124	0.6765438335
1125	0.6765794594
1126	0.6765866321
1127	0.6766017993
1128	0.6766210221
1129	0.6766556097
1130	0.6766756334
1131	0.6766940108
1132	0.6767125653
1133	0.6767396933
1134	0.6767514712
1135	0.6767972958
1136	0.6768571977
1137	0.676877686
1138	0.6769408972
1139	0.6769573838
1140	0.6769982906
1141	0.6770309426
1142	0.6770575955
1143	0.6770852311
1144	0.6771002824
1145	0.6771173733
1146	0.6771575804
1147	0.6771928885
1148	0.6772163072
1149	0.6772177299
1150	0.6772473514
1151	0.6772668451
1152	0.6772780346
1153	0.6773092298
1154	0.6773384821
1155	0.6773507909
1156	0.6773680683
1157	0.6773815753
1158	0.6773951448
1159	0.6774216132
1160	0.6774484478
1161	0.6775058648
1162	0.6775147281
1163	0.6775278456
1164	0.677566243
1165	0.6775784719
1166	0.6776088716
1167	0.6776288129
1168	0.677647069
1169	0.6776814846
1170	0.6777105485
1171	0.6777869563
1172	0.6777964274
1173	0.6778140848
1174	0.6778338288
1175	0.6778383486
1176	0.6778698855
1177	0.6779165027
1178	0.6779524113
1179	0.6779648271
1180	0.6779720239
1181	0.6779975055
1182	0.6780380124
1183	0.6780519959
1184	0.678057979
1185	0.6780942708
1186	0.6781428361
1187	0.6781420938
1188	0.6781679607
1189	0.6781762749
1190	0.6781935205
1191	0.6781997001
1192	0.6782085178
1193	0.6782318605
1194	0.678245617
1195	0.6782716268
1196	0.6782858537
1197	0.6782980034
1198	0.678335156
1199	0.6783828958
